City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
2,Ixtapa,MX,76.23,clear sky,20.7,-105.2,
3,Kupang,ID,78.62,overcast clouds,-10.1667,123.5833,
6,Poum,NC,79.36,overcast clouds,-20.2333,164.0167,
12,Vaini,TO,80.76,broken clouds,-21.2,-175.2,
17,Isangel,VU,81.55,few clouds,-19.55,169.2667,
18,Jalu,LY,75.0,overcast clouds,29.0331,21.5482,
25,Sur,OM,75.38,clear sky,22.5667,59.5289,
33,Hualmay,PE,76.12,overcast clouds,-11.0964,-77.6139,
35,Puerto Ayora,EC,84.16,overcast clouds,-0.7393,-90.3518,
38,Cayenne,GF,77.04,overcast clouds,4.9333,-52.3333,
40,Yulara,AU,76.62,overcast clouds,-25.2406,130.9889,
45,Pisco,PE,78.85,clear sky,-13.7,-76.2167,
50,Kapaa,US,75.09,light rain,22.0752,-159.319,
54,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,
56,Georgetown,MY,78.73,few clouds,5.4112,100.3354,
58,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,
61,Port Hedland,AU,80.65,broken clouds,-20.3167,118.5667,
63,Mahebourg,MU,77.25,few clouds,-20.4081,57.7,
65,Manta,EC,82.18,light rain,-0.95,-80.7333,
66,Cabo San Lucas,MX,78.62,few clouds,22.8909,-109.9124,
70,Gizo,SB,82.94,light rain,-8.103,156.8419,
74,El Fuerte,MX,81.52,few clouds,26.4189,-108.6194,
78,Cidreira,BR,81.7,clear sky,-30.1811,-50.2056,
79,Rikitea,PF,80.31,few clouds,-23.1203,-134.9692,
85,Koumac,NC,78.01,broken clouds,-20.5667,164.2833,
90,Arraial Do Cabo,BR,89.56,clear sky,-22.9661,-42.0278,
92,Kavaratti,IN,81.0,clear sky,10.5669,72.642,
94,Tulum,MX,82.94,clear sky,20.2167,-87.4667,
111,Labuhan,ID,76.68,overcast clouds,-6.8844,112.2051,
121,Buchanan,LR,79.23,moderate rain,5.8808,-10.0467,
122,Saint-Philippe,RE,78.39,few clouds,-21.3585,55.7679,
123,Mar Del Plata,AR,75.22,few clouds,-38.0023,-57.5575,
129,Atuona,PF,80.01,light rain,-9.8,-139.0333,
135,Eagle Pass,US,84.27,scattered clouds,28.7091,-100.4995,
137,Jutai,BR,83.05,heavy intensity rain,-5.1833,-68.9,
138,Butaritari,KI,81.18,overcast clouds,3.0707,172.7902,
139,Daru,PG,77.72,overcast clouds,-9.0763,143.2092,
141,Rio Branco Do Sul,BR,77.32,overcast clouds,-25.19,-49.3142,
146,Vera Cruz,BR,83.77,overcast clouds,-12.6333,-41.0333,
148,Canyon Lake,US,78.24,overcast clouds,29.8752,-98.2625,
151,Gamba,GA,76.55,overcast clouds,-2.65,10.0,
157,Faanui,PF,82.62,few clouds,-16.4833,-151.75,
160,Winneba,GH,82.0,overcast clouds,5.3511,-0.6231,
161,Karratha,AU,83.48,broken clouds,-20.7377,116.8463,
164,Pangai,TO,80.71,scattered clouds,-19.8,-174.35,
172,Bilma,NE,79.52,clear sky,18.6853,12.9164,
176,Charcas,MX,77.0,overcast clouds,23.1333,-101.1167,
180,Aitape,PG,77.29,broken clouds,-3.1374,142.3475,
186,Porto Novo,BJ,81.81,overcast clouds,6.4965,2.6036,
192,Padang,ID,76.55,broken clouds,-0.9492,100.3543,
193,Jitra,MY,80.49,few clouds,6.2681,100.4217,
196,Nova Serrana,BR,82.42,overcast clouds,-19.8761,-44.9836,
208,Maningrida,AU,77.77,light rain,-12.0667,134.2667,
210,Caravelas,BR,82.02,clear sky,-17.7125,-39.2481,
212,Okitipupa,NG,80.33,broken clouds,6.5047,4.7839,
213,Vanimo,PG,76.41,overcast clouds,-2.6741,141.3028,
215,Mabaruma,GY,80.51,broken clouds,8.2,-59.7833,
218,Breves,BR,80.76,overcast clouds,-1.6822,-50.4803,
219,Lorengau,PG,79.56,overcast clouds,-2.0226,147.2712,
222,Belo Jardim,BR,80.2,broken clouds,-8.3356,-36.4242,
223,Nanakuli,US,75.15,light rain,21.3906,-158.1547,
224,Hithadhoo,MV,81.21,few clouds,-0.6,73.0833,
225,Kandrian,PG,77.74,light rain,-6.2167,149.55,
226,Belmonte,BR,82.08,clear sky,-15.8631,-38.8828,
230,Axim,GH,81.9,overcast clouds,4.8699,-2.2405,
232,Souillac,MU,75.58,few clouds,-20.5167,57.5167,
239,Carnarvon,AU,76.98,overcast clouds,-24.8667,113.6333,
240,Kahului,US,75.85,light rain,20.8947,-156.47,
241,Descalvado,BR,81.48,overcast clouds,-21.9039,-47.6194,
245,Santa Rosa,PH,79.11,overcast clouds,14.3122,121.1114,
251,Avera,US,76.51,overcast clouds,33.194,-82.5271,
258,Sao Lourenco Do Sul,BR,76.39,broken clouds,-31.3653,-51.9783,
259,Salto De Agua,MX,86.76,clear sky,17.6167,-92.3667,
260,Sena Madureira,BR,89.29,overcast clouds,-9.0656,-68.6569,
261,Sabang,ID,81.84,scattered clouds,5.8933,95.3214,
262,Saint-Louis,SN,89.24,overcast clouds,16.3333,-15.0,
265,La Union,PE,87.3,overcast clouds,-5.4,-80.75,
267,Pimentel,PE,82.69,broken clouds,-6.8367,-79.9342,
270,Nobres,BR,89.2,broken clouds,-14.7203,-56.3275,
271,Nisia Floresta,BR,86.81,clear sky,-6.0911,-35.2086,
279,Touros,BR,82.78,clear sky,-5.1989,-35.4608,
