City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Port Alfred,ZA,-33.5906,26.891,67.17,94,32,4.0,scattered clouds
1,Atar,MR,20.5169,-13.0499,73.09,19,90,8.66,overcast clouds
2,Ixtapa,MX,20.7,-105.2,76.23,65,0,11.5,clear sky
3,Kupang,ID,-10.1667,123.5833,78.62,86,100,20.85,overcast clouds
4,Honningsvag,NO,70.9821,25.9704,37.15,87,75,21.85,broken clouds
5,Havelock,US,34.8791,-76.9013,57.18,76,89,5.23,overcast clouds
6,Poum,NC,-20.2333,164.0167,79.36,81,95,7.96,overcast clouds
7,Bredasdorp,ZA,-34.5322,20.0403,66.29,75,7,9.84,clear sky
8,Ngunguru,NZ,-35.6167,174.5,66.0,86,98,10.25,overcast clouds
9,Hermanus,ZA,-34.4187,19.2345,66.79,79,0,12.5,clear sky
10,Nivala,FI,63.9167,24.9667,7.68,99,94,3.62,overcast clouds
11,Severo-Kurilsk,RU,50.6789,156.125,21.49,76,100,7.9,overcast clouds
12,Vaini,TO,-21.2,-175.2,80.76,89,75,9.22,broken clouds
13,Punta Arenas,CL,-53.15,-70.9167,59.11,58,100,23.02,overcast clouds
14,Ushuaia,AR,-54.8,-68.3,55.06,58,75,3.44,broken clouds
15,Brest,BY,52.1,23.7,30.16,74,100,8.95,overcast clouds
16,Ribeira Grande,PT,38.5167,-28.7,55.8,76,20,31.07,few clouds
17,Isangel,VU,-19.55,169.2667,81.55,85,14,12.93,few clouds
18,Jalu,LY,29.0331,21.5482,75.0,12,91,17.54,overcast clouds
19,Margate,GB,51.3813,1.3862,41.88,73,22,10.0,few clouds
20,Castro,BR,-24.7911,-50.0119,72.5,86,71,6.11,broken clouds
21,Walvis Bay,NA,-22.9575,14.5053,65.35,82,15,8.05,few clouds
22,Khuzhir,RU,53.1939,107.3397,17.64,75,100,11.16,overcast clouds
23,Upernavik,GL,72.7868,-56.1549,-0.13,97,100,2.98,overcast clouds
24,Aklavik,CA,68.2191,-135.0107,3.2,85,100,6.91,light snow
25,Sur,OM,22.5667,59.5289,75.38,60,0,7.81,clear sky
26,Ilulissat,GL,69.2167,-51.1,8.62,56,53,9.22,broken clouds
27,Zlynka,RU,52.4267,31.7378,28.96,86,97,6.38,overcast clouds
28,Maldonado,UY,-34.6667,-54.9167,74.59,39,0,11.74,clear sky
29,Tura,IN,25.5198,90.2201,63.9,29,0,3.15,clear sky
30,Concepcion,CL,-36.827,-73.0498,71.4,43,0,19.57,clear sky
31,Fukue,JP,32.6881,128.8419,48.88,61,5,15.08,clear sky
32,Krasni Okny,UA,47.5404,29.46,38.08,96,100,13.06,overcast clouds
33,Hualmay,PE,-11.0964,-77.6139,76.12,76,87,7.43,overcast clouds
34,Torrington,US,41.8007,-73.1212,38.75,82,95,1.01,overcast clouds
35,Puerto Ayora,EC,-0.7393,-90.3518,84.16,90,98,11.01,overcast clouds
36,Saint-Francois,FR,46.4154,3.9054,35.04,48,100,23.02,overcast clouds
37,Saskylakh,RU,71.9167,114.0833,-7.74,96,100,18.45,overcast clouds
38,Cayenne,GF,4.9333,-52.3333,77.04,94,100,11.5,overcast clouds
